-	дефис	    	дефис
.	точка	    	точка
0	цифра 0	    	цифры
1	цифра 1	    	цифры
2	цифра 2	    	цифры
3	цифра 3	    	цифры
4	цифра 4	    	цифры
5	цифра 5	    	цифры
6	цифра 6	    	цифры
7	цифра 7	    	цифры
8	цифра 8	    	цифры
9	цифра 9	    	цифры
 	пробел	    	пробел
\	разделитель значений	    	команды
_#	шрифт нормальный	    	команды
_%	шрифт - отмена установок	    	команды
_@	шрифт курсив	    	команды
~#	шрифт полужирный	    	команды
~@	шрифт курсив полужирный	    	команды
~~	шрифт - задание цвета	    	команды
~Я	спец. команда - начало	2660	команды
~ц	обрыв строки	265E	команды
~я	спец. команда - конец	2665	команды
~-A	макрон A	0100	диакриты
~-E	макрон E	0112	диакриты
~-I	макрон I	012a	диакриты
~-O	макрон O	014c	диакриты
~-U	макрон U	016a	диакриты
~-a	макрон a	0101	диакриты
~-e	макрон e	0113	диакриты
~-i	макрон i	012b	диакриты
~-o	макрон o	014d	диакриты
~-u	макрон u	016b	диакриты
~.C	точка сверху C	010a	диакриты
~.E	точка сверху E	0116	диакриты
~.G	точка сверху G	0120	диакриты
~.I	точка сверху I	0130	диакриты
~.Z	точка сверху Z	017b	диакриты
~.c	точка сверху c	010b	диакриты
~.e	точка сверху e	0117	диакриты
~.g	точка сверху g	0121	диакриты
~.z	точка сверху z	017c	диакриты
~0A	кружок сверху A	00c5	диакриты
~0U	кружок сверху U	016e	диакриты
~0a	кружок сверху a	00e5	диакриты
~0u	кружок сверху u	016f	диакриты
~1A	ударение сильное A	00c1	диакриты
~1C	ударение сильное C	0106	диакриты
~1E	ударение сильное E	00c9	диакриты
~1I	ударение сильное I	00cd	диакриты
~1L	ударение сильное L	0139	диакриты
~1N	ударение сильное N	0143	диакриты
~1O	ударение сильное O	00d3	диакриты
~1R	ударение сильное R	0154	диакриты
~1S	ударение сильное S	015a	диакриты
~1U	ударение сильное U	00da	диакриты
~1Y	ударение сильное Y	00dd	диакриты
~1Z	ударение сильное Z	0179	диакриты
~1a	ударение сильное a	00e1	диакриты
~1c	ударение сильное c	0107	диакриты
~1e	ударение сильное e	00e9	диакриты
~1i	ударение сильное i	00ed	диакриты
~1l	ударение сильное l	013a	диакриты
~1n	ударение сильное n	0144	диакриты
~1o	ударение сильное o	00f3	диакриты
~1r	ударение сильное r	0155	диакриты
~1s	ударение сильное s	015b	диакриты
~1u	ударение сильное u	00fa	диакриты
~1y	ударение сильное y	00fd	диакриты
~1z	ударение сильное z	017a	диакриты
~2A	ударение слабое A	00c0	диакриты
~2E	ударение слабое E	00c8	диакриты
~2I	ударение слабое I	00cc	диакриты
~2O	ударение слабое O	00d2	диакриты
~2U	ударение слабое U	00d9	диакриты
~2a	ударение слабое a	00e0	диакриты
~2e	ударение слабое e	00e8	диакриты
~2i	ударение слабое i	00ec	диакриты
~2o	ударение слабое o	00f2	диакриты
~2u	ударение слабое u	00f9	диакриты
~3C	корона C	010c	диакриты
~3D	корона D	010e	диакриты
~3E	корона E	011a	диакриты
~3L	корона L	013d	диакриты
~3N	корона N	0147	диакриты
~3R	корона R	0158	диакриты
~3S	корона S	0160	диакриты
~3T	корона T	0164	диакриты
~3Z	корона Z	017d	диакриты
~3c	корона c	010d	диакриты
~3d	корона d	010f	диакриты
~3e	корона e	011b	диакриты
~3l	корона l	013e	диакриты
~3n	корона n	0148	диакриты
~3r	корона r	0159	диакриты
~3s	корона s	0161	диакриты
~3t	корона t	0165	диакриты
~3z	корона z	017e	диакриты
~4A	знак краткости A	0102	диакриты
~4G	знак краткости G	011e	диакриты
~4U	знак краткости U	016c	диакриты
~4a	знак краткости a	0103	диакриты
~4g	знак краткости g	011f	диакриты
~4u	знак краткости u	016d	диакриты
~6A	тильда A	00c3	диакриты
~6I	тильда I	0128	диакриты
~6N	тильда N	00d1	диакриты
~6O	тильда O	00d5	диакриты
~6U	тильда U	0168	диакриты
~6a	тильда a	00e3	диакриты
~6i	тильда i	0129	диакриты
~6n	тильда n	00f1	диакриты
~6o	тильда o	00f5	диакриты
~6u	тильда u	0169	диакриты
~7A	циркумфлекс A	00c2	диакриты
~7C	циркумфлекс C	0108	диакриты
~7E	циркумфлекс E	00ca	диакриты
~7G	циркумфлекс G	011c	диакриты
~7H	циркумфлекс H	0124	диакриты
~7I	циркумфлекс I	00ce	диакриты
~7J	циркумфлекс J	0134	диакриты
~7O	циркумфлекс O	00d4	диакриты
~7S	циркумфлекс S	015c	диакриты
~7U	циркумфлекс U	00db	диакриты
~7W	циркумфлекс W	0174	диакриты
~7Y	циркумфлекс Y	0176	диакриты
~7a	циркумфлекс a	00e2	диакриты
~7c	циркумфлекс c	0109	диакриты
~7e	циркумфлекс e	00ea	диакриты
~7g	циркумфлекс g	011d	диакриты
~7h	циркумфлекс h	0125	диакриты
~7i	циркумфлекс i	00ee	диакриты
~7j	циркумфлекс j	0135	диакриты
~7o	циркумфлекс o	00f4	диакриты
~7s	циркумфлекс s	015d	диакриты
~7u	циркумфлекс u	00fb	диакриты
~7w	циркумфлекс w	0175	диакриты
~7y	циркумфлекс y	0177	диакриты
~8A	хвостик A	0104	диакриты
~8E	хвостик E	0118	диакриты
~8I	хвостик I	012e	диакриты
~8U	хвостик U	0172	диакриты
~8a	хвостик a	0105	диакриты
~8e	хвостик e	0119	диакриты
~8i	хвостик i	012f	диакриты
~8u	хвостик u	0173	диакриты
~:A	диерез A	00c4	диакриты
~:E	диерез E	00cb	диакриты
~:I	диерез I	00cf	диакриты
~:O	диерез O	00d6	диакриты
~:U	диерез U	00dc	диакриты
~:Y	диерез Y	0178	диакриты
~:a	диерез a	00e4	диакриты
~:e	диерез e	00eb	диакриты
~:i	диерез i	00ef	диакриты
~:o	диерез o	00f6	диакриты
~:u	диерез u	00fc	диакриты
~:y	диерез y	00ff	диакриты
~EC	седиль C	00c7	диакриты
~EG	седиль G	0122	диакриты
~EK	седиль K	0136	диакриты
~EL	седиль L	013b	диакриты
~EN	седиль N	0145	диакриты
~ER	седиль R	0156	диакриты
~ES	седиль S	015e	диакриты
~ET	седиль T	0162	диакриты
~Ec	седиль c	00e7	диакриты
~Eg	седиль g	0123	диакриты
~Ek	седиль k	0137	диакриты
~El	седиль l	013c	диакриты
~En	седиль n	0146	диакриты
~Er	седиль r	0157	диакриты
~Es	седиль s	015f	диакриты
~Et	седиль t	0163	диакриты
_J	алеф (иврит)	2135	буквы спец.
_Д	D перечеркнутая	0110	буквы спец.
_Ж	Ч мягкое (серб)	040b	буквы спец.
_З	Е перевернутая (казах., азерб.)	04d8	буквы спец.
_Й	C (ажурный шрифт)	2102	буквы спец.
_Л	Ль вместе (серб.)	0409	буквы спец.
_Н	Нь вместе (серб.)	040a	буквы спец.
_П	H (ажурный шрифт)	210d	буквы спец.
_У	N (ажурный шрифт)	2115	буквы спец.
_Ф	P (ажурный шрифт)	2119	буквы спец.
_Ц	Q (ажурный шрифт)	211a	буквы спец.
_Ч	Z (ажурный шрифт)	2124	буквы спец.
_Ш	H (готический шрифт)	210c	буквы спец.
_Щ	I (готический шрифт)	2111	буквы спец.
_Ъ	R (готический шрифт)	211c	буквы спец.
_Э	Э перевернутая (укр.)	0404	буквы спец.
_Я	ОМЕГА перевернутая	2127	буквы спец.
_д	d перечеркнутая	0111	буквы спец.
_з	е перевернутая (казах., азерб.)	04d9	буквы спец.
_и	i без точки	0131	буквы спец.
_л	ль вместе (серб.)	0459	буквы спец.
_н	нь вместе (серб.)	045a	буквы спец.
_э	э перевернутая (укр.)	0454	буквы спец.
~A	AE вместе	00c6	буквы спец.
~B	эсцет (нем.)	00df	буквы спец.
~G	OE вместе	0152	буквы спец.
~O	O перечеркнутое	00d8	буквы спец.
~a	ae вместе	00e6	буквы спец.
~g	oe вместе	0153	буквы спец.
~h	h перечеркнутая, ч мягкое (серб.)	0127	буквы спец.
~l	L перечеркнутая	0141	буквы спец.
~m	l перечеркнутая	0142	буквы спец.
~o	o перечеркнутая	00f8	буквы спец.
+	плюс	    	форм. обычн.
<	меньше	    	форм. обычн.
=	равно	    	форм. обычн.
>	больше	    	форм. обычн.
_A	АЛЬФА	0391	буквы греч.
_B	БЕТА	0392	буквы греч.
_C	ПСИ	03a8	буквы греч.
_D	ДЕЛЬТА	0394	буквы греч.
_E	ЭПСИЛОН	0395	буквы греч.
_F	ФИ	03a6	буквы греч.
_G	ГАММА	0393	буквы греч.
_H	ЭТА	0397	буквы греч.
_I	ЙОТА	0399	буквы греч.
_K	КАППА	039a	буквы греч.
_L	ЛЯМБДА	039b	буквы греч.
_M	МЮ	039c	буквы греч.
_N	НЮ	039d	буквы греч.
_O	ОМИКРОН	039f	буквы греч.
_P	ПИ	03a0	буквы греч.
_Q	ТЭТА	0398	буквы греч.
_R	РО	03a1	буквы греч.
_S	СИГМА	03a3	буквы греч.
_T	ТАУ	03a4	буквы греч.
_U	КСИ	039e	буквы греч.
_W	ОМЕГА	03a9	буквы греч.
_X	ХИ	03a7	буквы греч.
_Y	ИПСИЛОН	03a5	буквы греч.
_Z	ДЗЕТА	0396	буквы греч.
_a	альфа	03b1	буквы греч.
_b	бета	03b2	буквы греч.
_c	пси	03c8	буквы греч.
_d	дельта	03b4	буквы греч.
_e	эпсилон	03b5	буквы греч.
_f	сигма оконечная	03c2	буквы греч.
_g	гамма	03b3	буквы греч.
_h	эта	03b7	буквы греч.
_i	йота	03b9	буквы греч.
_j	тэта (рукописная)	03d1	буквы греч.
_k	каппа	03ba	буквы греч.
_l	лямбда	03bb	буквы греч.
_m	мю	03bc	буквы греч.
_n	ню	03bd	буквы греч.
_o	омикрон	03bf	буквы греч.
_p	пи	03c0	буквы греч.
_q	тэта	03b8	буквы греч.
_r	ро	03c1	буквы греч.
_s	сигма	03c3	буквы греч.
_t	тау	03c4	буквы греч.
_u	кси	03be	буквы греч.
_v	фи	03c6	буквы греч.
_w	омега	03c9	буквы греч.
_x	хи	03c7	буквы греч.
_y	ипсилон	03c5	буквы греч.
_z	дзета	03b6	буквы греч.
[	индекс нижн. - начало	    	индексы
]	индекс нижн. - отмена	    	индексы
{	индекс верх. - начало	    	индексы
}	индекс верх. - отмена	    	индексы
A	A	    	буквы лат.
B	B	    	буквы лат.
C	C	    	буквы лат.
D	D	    	буквы лат.
E	E	    	буквы лат.
F	F	    	буквы лат.
G	G	    	буквы лат.
H	H	    	буквы лат.
I	I	    	буквы лат.
J	J	    	буквы лат.
K	K	    	буквы лат.
L	L	    	буквы лат.
M	M	    	буквы лат.
N	N	    	буквы лат.
O	O	    	буквы лат.
P	P	    	буквы лат.
Q	Q	    	буквы лат.
R	R	    	буквы лат.
S	S	    	буквы лат.
T	T	    	буквы лат.
U	U	    	буквы лат.
V	V	    	буквы лат.
W	W	    	буквы лат.
X	X	    	буквы лат.
Y	Y	    	буквы лат.
Z	Z	    	буквы лат.
a	a	    	буквы лат.
b	b	    	буквы лат.
c	c	    	буквы лат.
d	d	    	буквы лат.
e	e	    	буквы лат.
f	f	    	буквы лат.
g	g	    	буквы лат.
h	h	    	буквы лат.
i	i	    	буквы лат.
j	j	    	буквы лат.
k	k	    	буквы лат.
l	l	    	буквы лат.
m	m	    	буквы лат.
n	n	    	буквы лат.
o	o	    	буквы лат.
p	p	    	буквы лат.
q	q	    	буквы лат.
r	r	    	буквы лат.
s	s	    	буквы лат.
t	t	    	буквы лат.
u	u	    	буквы лат.
v	v	    	буквы лат.
w	w	    	буквы лат.
x	x	    	буквы лат.
y	y	    	буквы лат.
z	z	    	буквы лат.
_$	лаплас	2206	форм. доп.
_*	умножение-крест	00d7	форм. доп.
_+	плюс-минус	00b1	форм. доп.
_,	пропорционально (эквивалентно)	223c	форм. доп.
_.	точка в круге	2299	форм. доп.
_3	скобка угл. откр.	3008	форм. доп.
_4	скобка угл. закр.	3009	форм. доп.
_7	подобно	223e	форм. доп.
_8	бесконечность	221e	форм. доп.
_9	пустое множество	2205	форм. доп.
_:	диапазон (обелюс)	00f7	форм. доп.
_;	эквив. или равно	2243	форм. доп.
_<	меньше или равно	2264	форм. доп.
_=	тождественно равно (идентично)	2261	форм. доп.
_>	больше или равно	2265	форм. доп.
_V	радикал	221a	форм. доп.
_Ю	П (произв.) перевернутое	2210	форм. доп.
_б	жирная точка (булит)	2219	форм. доп.
_г	гамма с хвостиком	03d2	форм. доп.
_п	постоянная Планка	210f	форм. доп.
~$	набла	2207	форм. доп.
~%	не равно	2260	форм. доп.
~*	произведение тензорное	2297	форм. доп.
~+	симметрично	2295	форм. доп.
~;	конгруэнтность (эквив. или тожд. равно)	2245	форм. доп.
~<	меньше или прибл. равно	2272	форм. доп.
~=	равно прибл.	2248	форм. доп.
~>	больше или прибл. равно	2273	форм. доп.
~?	не равно тождественно (не идентично)	2262	форм. доп.
~P	параллельно	2225	форм. доп.
~R	включено или равно мн-ву (подмножество)	2286	форм. доп.
